SSN,DoB,PC,DateIn,TimeIn,Anaphylaxis,Seizure,Unconsciousness,Fractures,BrokenBone,AllergicReaction,Fever,Cough,Nausea,Headache
123456789,01/01/2000,10000,25/03/2025,10:00,0,0,0,1,0,1,1,0,1,1
987654321,15/07/1985,20000,26/03/2025,14:30,1,0,0,0,1,1,1,1,0,0
456123789,23/02/1995,30000,27/03/2025,08:15,0,1,0,0,0,0,1,1,1,1
321987654,30/09/2002,40000,28/03/2025,11:45,0,0,1,0,0,1,0,1,0,0
654321987,12/05/1990,50000,29/03/2025,09:00,1,0,0,1,0,0,0,0,1,1
564738291,17/03/1993,60000,30/03/2025,15:00,0,0,0,0,1,0,1,1,1,0
738291564,02/11/1998,70000,31/03/2025,16:45,0,1,0,1,0,1,0,0,1,0
847362514,07/06/1982,80000,01/04/2025,12:30,1,0,1,0,0,1,1,1,0,0
483726519,22/08/2001,90000,02/04/2025,14:00,0,1,1,1,0,0,1,0,0,1
928374651,14/12/1997,100000,03/04/2025,18:00,0,0,0,0,1,1,1,1,0,1
561728394,06/02/1994,110000,04/04/2025,10:15,1,1,0,0,0,0,1,0,1,1
672839514,11/10/2000,120000,05/04/2025,13:30,0,0,0,1,1,1,0,0,1,0
738291746,20/09/1996,130000,06/04/2025,09:00,0,1,0,0,0,0,1,1,1,1
384927561,03/07/1992,140000,07/04/2025,17:45,1,0,1,0,0,1,0,0,0,0
928374615,25/05/2003,150000,08/04/2025,11:00,0,1,0,0,1,0,1,0,1,1
573829146,10/04/1989,160000,09/04/2025,14:30,1,0,0,1,0,1,1,1,0,0
384756293,21/03/1997,170000,10/04/2025,12:00,0,0,1,0,0,1,0,1,1,0
947362851,08/12/1994,180000,11/04/2025,16:15,1,1,0,0,1,0,0,1,0,0
764829153,29/09/2002,190000,12/04/2025,08:00,0,1,1,0,0,1,0,0,1,1
374829561,17/02/2004,200000,13/04/2025,14:00,0,0,1,1,0,1,1,0,0,1
284736159,12/04/1987,210000,14/04/2025,15:30,0,0,0,1,1,1,1,1,0,1
637483920,05/09/2000,220000,15/04/2025,13:45,1,0,1,0,0,1,1,0,1,0
428573910,26/06/1999,230000,16/04/2025,09:30,0,1,0,1,0,1,0,1,1,1
583920746,15/03/2003,240000,17/04/2025,10:45,1,0,0,0,1,0,1,0,1,0
372849561,14/02/1985,250000,18/04/2025,11:00,0,1,1,1,0,0,0,1,0,1
238746159,19/11/1990,260000,19/04/2025,16:00,0,0,0,0,1,1,1,0,0,1
294756183,23/04/2002,270000,20/04/2025,08:30,1,0,1,0,0,0,0,1,0,0
928473651,08/07/1998,280000,21/04/2025,12:15,1,1,0,1,0,1,0,1,1,1
